Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
2239 W North Ave APT 3B,,Sold,Condo,467000,11/24/19,2,2,1600,N,219,2004
2032 W Pierce Ave APT 3W,,Sold,Condo,3200,04/05/19,3,2,,Y,N/A,1998
1904 W Division St,,Sold,Condo,675000,04/16/19,,--,,N,N/A,Data
1248 N Hoyne Ave #2,,Sold,Condo,530000,07/04/18,3,2,1800,Y,180,2016
1233 N Paulina St,,Sold,Single Family,1025000,08/27/20,3,3,3400,Y,N/A,1908
1519 N Wood St #2,,Sold,Vacant Land,650000,07/07/19,2,N/A,N/A,N,N/A,1904
1904 W Division St #3S,,Sold,Condo,755000,09/05/19,,--,,N,384,Data
1419 N Wood St #2,,Sold,Condo,550000,07/05/18,3,2.,,Y,N/A,2001
1612 W Pierce Ave UNIT C,,Sold,Condo,735000,01/02/20,3,4,No Data,N,N/A,1999
2038 W Crystal St #1,,Sold,Condo,695000,04/06/20,3,3,2600,Y,175,2012
1353 N Leavitt St #2,,Sold,Condo,472000,04/21/19,,--,,N,182,2005
1945 W Evergreen Ave,,Sold,Condo,344000,03/10/20,2,2,1500,Y,226,1886
1243 N Wolcott Ave APT 5,,Sold,Condo,655000,03/10/19,3,3,2000,Y,200,2000
1530 N Elk Grove Ave APT M,,Sold,Townhouse,750000,08/11/19,3,3,2785,Y,840,1998
2117 W Crystal St APT 1,,Sold,Condo,632500,05/14/19,3,3,2400,Y,170,2004
1248 N Hoyne Ave #2,,Sold,Condo,530000,12/19/18,3,2,,N,180,2012
2020 W Pierce Ave APT 6,,Sold,Condo,525500,06/24/18,3,2,1450,N,315,2002
1353 N Leavitt St #G-2,,Sold,Condo,472000,04/21/19,,--,,N,182,2005
1630 W Le Moyne St #1,,Sold,Multiple Occupancy,630000,01/21/20,3,2.,,N,N/A,2014
1267 N Honore St APT 3,,Sold,Condo,359000,06/19/18,2,2,1200,Y,152,1997
1378 N Wolcott Ave APT 1C,,Sold,Condo,405000,08/27/20,2,2,1215,Y,320,1881
1406 N Paulina St #1,,Sold,Condo,1010000,10/24/19,4,4,4300,Y,290,1879
1619 W Le Moyne St APT 1,,Sold,Condo,325000,11/07/19,2,2,1100,Y,125,2000
2026 W Pierce Ave #7,,Sold,Condo,620000,07/21/19,3,2,No Data,Y,289,2001
1417 N Wicker Park Ave,,Sold,Multiple Occupancy,790000,11/21/19,9,3,No Data,N,N/A,1885
1555 N Wood St #G-1,,Sold,Condo,587000,07/22/18,,--,,N,N/A,2003
1464 N Paulina St,,Sold,Single Family,907000,09/26/18,4,4,3500,Y,N/A,2002
1313 N Wood St #C,,Sold,Condo,618000,04/09/19,2,2,,Y,400,1894
1904 W Division St #2N,,Sold,Condo,600000,04/06/20,,--,,N,384,Data
1441 N Wicker Park Ave UNIT 4N,,Sold,Condo,495000,07/15/20,2,2,1373,Y,236,2004
1720 W Julian St,,Sold,Single Family,645000,10/08/19,,--,,N,N/A,Data
1531 N Bell Ave,,Sold,Single Family,1650000,06/27/19,3,3.,,Y,N/A,1885
2035 W Crystal St #3,,Sold,Condo,394000,12/10/18,2,2,1200,Y,180,2003
1624 W Pierce Ave,,Sold,Single Family,1725000,08/27/20,5,6,4000,Y,N/A,2020
1641 W North Ave APT 2E,,Sold,Condo,390000,05/21/19,,--,,N,170,1997
1504 N Paulina St,,Sold,Single Family,810123,12/08/19,4,4,No Data,N,N/A,1997
1733 W Pierce Ave,,Sold,Multiple Occupancy,740000,09/04/18,6,4,No Data,N,N/A,Data
2026 W Pierce Ave #6,,Sold,Condo,500000,06/29/18,3,2,No Data,Y,251,2001
1843 W North Ave APT 2W,,Sold,Condo,500000,09/03/19,2,2,No Data,Y,288,2007
1217 N Paulina St,,Sold,Single Family,700000,02/05/19,5,2,No Data,N,N/A,Data
1319 N Oakley Blvd,,Sold,Single Family,1000000,04/24/19,4,4,2504,Y,N/A,1910
1321 N Bell Ave,,Sold,Single Family,1220000,02/13/20,5,4,4200,Y,N/A,2008
1261 N Paulina St APT 8,,Sold,Condo,665000,11/08/18,3,2,2200,Y,614,1913
2013 W Evergreen Ave #1,,Sold,Condo,558750,09/21/18,2,3,2200,N,338,Data
None,,,Condo,N/A,"$438,836",2,2.,1450,Y,220,2009
2022 W Potomac Ave,,Sold,Multiple Occupancy,710000,08/30/18,5,2,2000,Y,N/A,1885
1300 N Claremont Ave #2W,,Sold,Condo,660000,08/10/20,3,2,No Data,Y,158,2020
1732 W Potomac Ave,,Sold,Single Family,410000,07/29/20,2,1,,N,N/A,1897
2124 W Division St APT 1,,Sold,Condo,417000,02/24/19,,--,,N,270,1994
2038 W Pierce Ave APT 1E,,Sold,Condo,2800,04/18/19,3,2,,Y,N/A,1998
1929 W Potomac Ave,,Sold,Condo,625000,01/08/19,,--,,N,281,2006
1801 W #2E,,Sold,Condo,650000,10/29/19,3,2,2000,N,N/A,Data
1618 W Blackhawk St #G,,Sold,Condo,263000,10/23/18,2,1,950,Y,134,1888
